42503 56928 | 28268 28164 28574 28574
42550 56928 | 28469 28212 28419 28419
42500 56928 | 28053 28442 28505 28505
42478 56928 | 28154 28364 28438 28438
42540 56928 | 28269 28335 28476 28476
42738 56928 | 28394 28585 28497 28497
34632 46602 | 22963 23129 23172 23172
34796 46602 | 23139 23217 23236 23236
34826 46602 | 23138 23053 23461 23461
34774 46602 | 23109 23318 23121 23121
34855 46602 | 23369 23228 23113 23113
34904 46602 | 23232 23250 23326 23326
34917 46602 | 23130 23369 23335 23335
163 237 | 111 110 105 105
168 237 | 110 115 111 111
169 237 | 113 116 109 109
180 237 | 120 117 123 123
176 237 | 110 124 118 118
180 237 | 114 116 130 130
