1454 200000 | 1079 744 1085 1085
1432 200000 | 1038 754 1072 1072
1482 200000 | 1127 772 1065 1065
1465 200000 | 1088 756 1086 1086
1394 200000 | 1040 696 1052 1052
1416 200000 | 1055 763 1014 1014
1467 200000 | 1059 776 1099 1099
1413 200000 | 1029 734 1063 1063
1478 200000 | 1076 780 1100 1100
1442 200000 | 1055 744 1085 1085
1435 200000 | 1068 752 1050 1050
1458 200000 | 1062 758 1096 1096
1415 200000 | 1043 715 1072 1072
1387 200000 | 1005 734 1035 1035
1476 200000 | 1076 778 1098 1098
1333 200000 | 995 684 987 987
1425 200000 | 1069 718 1063 1063
1485 200000 | 1082 751 1137 1137
1452 200000 | 1079 747 1078 1078
1483 200000 | 1090 768 1108 1108
1451 200000 | 1056 744 1102 1102
1459 200000 | 1048 796 1074 1074
1384 200000 | 1012 704 1052 1052
1525 200000 | 1132 753 1165 1165
1524 200000 | 1117 788 1143 1143
1415 200000 | 1041 717 1072 1072
1419 200000 | 1034 717 1087 1087
1473 200000 | 1096 754 1096 1096
1434 200000 | 1074 717 1077 1077
1410 200000 | 1094 713 1013 1013
1473 200000 | 1044 794 1108 1108
1478 200000 | 1083 760 1113 1113
1446 200000 | 1083 712 1097 1097
1414 200000 | 1049 709 1070 1070
1384 200000 | 1016 718 1034 1034
