1835 200000 | 722 1795 1153 1153
1902 200000 | 693 1855 1256 1256
1888 200000 | 670 1849 1257 1257
1917 200000 | 696 1875 1263 1263
1829 200000 | 673 1790 1195 1195
1873 200000 | 704 1830 1212 1212
1883 200000 | 634 1843 1289 1289
1870 200000 | 662 1828 1250 1250
1883 200000 | 656 1847 1263 1263
1901 200000 | 690 1856 1256 1256
1893 200000 | 671 1856 1259 1259
1843 200000 | 666 1801 1219 1219
1961 200000 | 715 1919 1288 1288
1891 200000 | 698 1849 1235 1235
1919 200000 | 708 1876 1254 1254
1867 200000 | 635 1814 1285 1285
1875 200000 | 669 1836 1245 1245
1824 200000 | 670 1782 1196 1196
1922 200000 | 655 1885 1304 1304
1816 200000 | 657 1776 1199 1199
1868 200000 | 695 1825 1216 1216
1880 200000 | 647 1841 1272 1272
1949 200000 | 709 1911 1278 1278
1890 200000 | 676 1855 1249 1249
1854 200000 | 677 1813 1218 1218
1877 200000 | 671 1840 1243 1243
1881 200000 | 708 1839 1215 1215
