44605 59489 | 29842 29583 29785 29785
44723 59489 | 29790 29617 30039 30039
44574 59489 | 29787 29699 29662 29662
44595 59489 | 29712 29688 29790 29790
44707 59489 | 30004 29659 29751 29751
36204 48090 | 24256 24195 23957 23957
35983 48090 | 23943 24141 23882 23882
36159 48090 | 23981 24064 24273 24273
36100 48090 | 24095 24118 23987 23987
35920 48090 | 23882 23859 24099 24099
18940 25046 | 12696 12594 12590 12590
18797 25046 | 12539 12580 12475 12475
18752 25046 | 12504 12539 12461 12461
18880 25046 | 12490 12679 12591 12591
18877 25046 | 12509 12511 12734 12734
18757 25046 | 12486 12520 12508 12508
