39719 53035 | 26317 26552 26569 26569
39777 53035 | 26607 26514 26433 26433
39643 53035 | 26441 26404 26441 26441
39722 53035 | 26395 26573 26476 26476
39704 53035 | 26455 26500 26453 26453
39646 53035 | 26499 26533 26260 26260
51226 67997 | 34135 34251 34066 34066
51127 67997 | 34078 34060 34116 34116
50999 67997 | 34131 33999 33868 33868
50725 67997 | 33679 34009 33762 33762
51076 67997 | 34190 33894 34068 34068
1216 1638 | 821 815 796 796
1314 1769 | 879 859 890 890
1434 1896 | 965 956 947 947
576 752 | 384 402 366 366
1219 1638 | 787 822 829 829
560 732 | 379 371 370 370
548 742 | 348 369 379 379
1336 1769 | 854 913 905 905
1424 1896 | 917 983 948 948
563 752 | 379 389 358 358
547 732 | 370 360 364 364
1233 1638 | 823 834 809 809
