38104 50916 | 25405 25388 25415 25415
38214 50916 | 25579 25531 25318 25318
38301 50916 | 25446 25556 25600 25600
38203 50916 | 25350 25500 25556 25556
38053 50916 | 25342 25500 25264 25264
38190 50916 | 25737 25298 25345 25345
42877 57109 | 28604 28556 28594 28594
42832 57109 | 28465 28654 28545 28545
42806 57109 | 28560 28581 28471 28471
42773 57109 | 28550 28487 28509 28509
43003 57109 | 28758 28616 28632 28632
11056 14712 | 7389 7387 7336 7336
11005 14712 | 7293 7331 7386 7386
10982 14712 | 7395 7320 7249 7249
11027 14712 | 7406 7249 7399 7399
11092 14712 | 7348 7471 7365 7365
10968 14712 | 7368 7231 7337 7337
