38371 200000 | 25685 23316 27741 27741
38282 200000 | 25682 23276 27606 27606
38203 200000 | 25773 23045 27588 27588
38079 200000 | 25733 22822 27603 27603
38167 200000 | 25875 22896 27563 27563
38170 200000 | 25733 23096 27511 27511
38462 200000 | 25895 23270 27759 27759
38535 200000 | 25848 23287 27935 27935
38158 200000 | 25692 23066 27558 27558
38546 200000 | 25958 23157 27977 27977
38274 200000 | 25884 23112 27552 27552
38495 200000 | 25789 23407 27794 27794
38431 200000 | 25867 23183 27812 27812
38242 200000 | 25860 23052 27572 27572
