16859 200000 | 11784 9554 12380 12380
16795 200000 | 11818 9497 12275 12275
16830 200000 | 11740 9575 12345 12345
17026 200000 | 11893 9729 12430 12430
16783 200000 | 11716 9588 12262 12262
16946 200000 | 11791 9594 12507 12507
16861 200000 | 11858 9496 12368 12368
16842 200000 | 11705 9533 12446 12446
17126 200000 | 11896 9780 12576 12576
16760 200000 | 11642 9585 12293 12293
16787 200000 | 11738 9558 12278 12278
16905 200000 | 11793 9532 12485 12485
16857 200000 | 11818 9499 12397 12397
16674 200000 | 11761 9379 12208 12208
16812 200000 | 11764 9514 12346 12346
17030 200000 | 11925 9598 12537 12537
16931 200000 | 11834 9620 12408 12408
16883 200000 | 11806 9505 12455 12455
16841 200000 | 11818 9420 12444 12444
17110 200000 | 11963 9607 12650 12650
16753 200000 | 11637 9535 12334 12334
17122 200000 | 11988 9641 12615 12615
16810 200000 | 11764 9584 12272 12272
17067 200000 | 12031 9594 12509 12509
16803 200000 | 11787 9451 12368 12368
16599 200000 | 11598 9424 12176 12176
16930 200000 | 11820 9552 12488 12488
16814 200000 | 11873 9482 12273 12273
16689 200000 | 11611 9486 12281 12281
16816 200000 | 11738 9389 12505 12505
