3052 200000 | 1471 2823 1810 1810
3149 200000 | 1453 2903 1942 1942
3150 200000 | 1358 2946 1996 1996
3287 200000 | 1466 3052 2056 2056
3120 200000 | 1446 2897 1897 1897
3237 200000 | 1468 3008 1998 1998
3192 200000 | 1423 2966 1995 1995
3327 200000 | 1505 3088 2061 2061
3177 200000 | 1441 2966 1947 1947
3175 200000 | 1499 2970 1881 1881
3280 200000 | 1567 3051 1942 1942
3227 200000 | 1491 3004 1959 1959
3281 200000 | 1495 3067 2000 2000
3208 200000 | 1485 2992 1939 1939
3249 200000 | 1494 3002 2002 2002
3191 200000 | 1469 2973 1940 1940
