42369 200000 | 31940 24412 28386 28386
42417 200000 | 31864 24388 28582 28582
42181 200000 | 31735 24388 28239 28239
42403 200000 | 31762 24460 28584 28584
42276 200000 | 31920 24439 28193 28193
42518 200000 | 31940 24386 28710 28710
42532 200000 | 32160 24411 28493 28493
42550 200000 | 31926 24759 28415 28415
27190 128603 | 20377 15808 18195 18195
24628 114824 | 18527 14205 16524 16524
30751 146140 | 23169 17639 20694 20694
32621 153099 | 24589 18709 21944 21944
39765 189122 | 29934 22888 26708 26708
27256 128603 | 20565 15640 18307 18307
35998 169214 | 27042 20696 24258 24258
27025 128603 | 20376 15454 18220 18220
24443 114824 | 18354 14219 16313 16313
45583 214338 | 34271 26235 30660 30660
30761 146140 | 23196 17718 20608 20608
32409 153099 | 24436 18717 21665 21665
39955 189122 | 30050 22982 26878 26878
