45994 200000 | 37261 26700 28027 28027
46014 200000 | 37108 26935 27985 27985
46001 200000 | 37191 27008 27803 27803
45964 200000 | 37119 27007 27802 27802
45611 200000 | 36739 26821 27662 27662
42983 186493 | 34678 25299 25989 25989
42899 186493 | 34677 25071 26050 26050
42605 186493 | 34568 25033 25609 25609
42723 186493 | 34521 25164 25761 25761
42855 186493 | 34557 25039 26114 26114
10050 43346 | 8062 5968 6070 6070
9891 43346 | 7975 5918 5889 5889
9935 43346 | 8011 5800 6059 6059
9894 43346 | 7923 5886 5979 5979
9830 43346 | 7905 5761 5994 5994
10049 43346 | 8138 5922 6038 6038
