2562 200000 | 2479 2495 150 150
2539 200000 | 2431 2465 182 182
2622 200000 | 2534 2529 181 181
2554 200000 | 2448 2470 190 190
2560 200000 | 2465 2498 157 157
2570 200000 | 2459 2479 202 202
2494 200000 | 2399 2431 158 158
2546 200000 | 2425 2470 197 197
2523 200000 | 2443 2442 161 161
2513 200000 | 2407 2431 188 188
2601 200000 | 2486 2531 185 185
2621 200000 | 2541 2553 148 148
2561 200000 | 2464 2472 186 186
2546 200000 | 2457 2481 154 154
2613 200000 | 2502 2544 180 180
2465 200000 | 2367 2394 169 169
2588 200000 | 2482 2536 158 158
2537 200000 | 2437 2466 171 171
2545 200000 | 2457 2485 148 148
2605 200000 | 2507 2546 157 157
