26532 200000 | 19770 16939 16355 16355
26594 200000 | 19958 17084 16146 16146
26528 200000 | 19782 16972 16302 16302
26783 200000 | 20073 17200 16293 16293
26551 200000 | 19719 17133 16250 16250
26338 200000 | 19549 17003 16124 16124
26411 200000 | 19665 17032 16125 16125
26452 200000 | 19820 16938 16146 16146
26690 200000 | 19990 17104 16286 16286
26744 200000 | 19951 17275 16262 16262
26605 200000 | 19898 17058 16254 16254
26937 200000 | 20124 17248 16502 16502
26533 200000 | 19908 16956 16202 16202
26679 200000 | 19825 17290 16243 16243
26399 200000 | 19724 17114 15960 15960
26674 200000 | 19983 17050 16315 16315
26452 200000 | 19807 16896 16201 16201
26530 200000 | 19737 17105 16218 16218
26638 200000 | 20065 17112 16099 16099
