17676 200000 | 13351 10779 11222 11222
17884 200000 | 13611 10860 11297 11297
17805 200000 | 13413 10841 11356 11356
17768 200000 | 13469 10890 11177 11177
17887 200000 | 13582 10973 11219 11219
17501 200000 | 13255 10652 11095 11095
17706 200000 | 13482 10716 11214 11214
17549 200000 | 13226 10691 11181 11181
17747 200000 | 13505 10951 11038 11038
17755 200000 | 13486 10754 11270 11270
17672 200000 | 13446 10686 11212 11212
17720 200000 | 13412 10878 11150 11150
17481 200000 | 13281 10662 11019 11019
17797 200000 | 13461 10851 11282 11282
17693 200000 | 13334 10822 11230 11230
17592 200000 | 13289 10731 11164 11164
17556 200000 | 13346 10671 11095 11095
17832 200000 | 13627 10852 11185 11185
17766 200000 | 13406 10901 11225 11225
17771 200000 | 13482 10882 11178 11178
17793 200000 | 13327 10985 11274 11274
17779 200000 | 13458 10826 11274 11274
17517 200000 | 13226 10748 11060 11060
17782 200000 | 13423 10889 11252 11252
17703 200000 | 13380 10791 11235 11235
17593 200000 | 13366 10742 11078 11078
17624 200000 | 13421 10622 11205 11205
17712 200000 | 13419 10798 11207 11207
17822 200000 | 13516 10903 11225 11225
