14402 19199 | 9612 9647 9545 9545
14313 19199 | 9554 9581 9491 9491
14375 19199 | 9615 9588 9547 9547
14377 19199 | 9644 9637 9473 9473
14454 19199 | 9588 9754 9566 9566
14386 19199 | 9639 9540 9593 9593
15478 20703 | 10310 10311 10335 10335
15595 20703 | 10452 10307 10431 10431
15587 20703 | 10229 10445 10500 10500
15468 20703 | 10255 10325 10356 10356
15422 20703 | 10294 10192 10358 10358
27697 37109 | 18314 18497 18583 18583
27606 36895 | 18390 18424 18398 18398
27777 37139 | 18530 18502 18522 18522
23722 31517 | 15819 15848 15777 15777
27251 36361 | 18128 18199 18175 18175
28498 37839 | 19022 19027 18947 18947
28164 37552 | 18768 18805 18755 18755
28244 37545 | 18800 18787 18901 18901
27924 37109 | 18610 18532 18706 18706
27655 36895 | 18452 18384 18474 18474
27698 37139 | 18577 18339 18480 18480
23579 31517 | 15734 15613 15811 15811
27345 36361 | 18261 18218 18211 18211
28184 37552 | 18686 18890 18792 18792
28206 37839 | 18829 18850 18733 18733
28165 37545 | 18749 18917 18664 18664
27874 37109 | 18527 18646 18575 18575
27716 36895 | 18626 18440 18366 18366
27807 37139 | 18609 18556 18449 18449
23637 31517 | 15785 15862 15627 15627
