2532 200000 | 1075 2387 1602 1602
2410 200000 | 1074 2271 1475 1475
2490 200000 | 1119 2342 1519 1519
2427 200000 | 1062 2279 1513 1513
2487 200000 | 1126 2337 1511 1511
2444 200000 | 1127 2277 1484 1484
2356 200000 | 1047 2229 1436 1436
2409 200000 | 1072 2262 1484 1484
2452 200000 | 1104 2301 1499 1499
2515 200000 | 1149 2328 1553 1553
2503 200000 | 1157 2358 1491 1491
2479 200000 | 1102 2325 1531 1531
2370 200000 | 1084 2227 1429 1429
2500 200000 | 1110 2346 1544 1544
2446 200000 | 1116 2304 1472 1472
2525 200000 | 1095 2393 1562 1562
2485 200000 | 1119 2344 1507 1507
2511 200000 | 1100 2364 1558 1558
2425 200000 | 1108 2273 1469 1469
2426 200000 | 1092 2296 1464 1464
2447 200000 | 1084 2296 1514 1514
