311 200000 | 307 92 223 223
315 200000 | 307 113 210 210
350 200000 | 342 133 225 225
328 200000 | 319 121 216 216
328 200000 | 324 107 225 225
335 200000 | 328 117 225 225
293 200000 | 281 105 200 200
330 200000 | 324 123 213 213
305 200000 | 295 113 202 202
325 200000 | 318 113 219 219
334 200000 | 324 116 228 228
332 200000 | 326 116 222 222
322 200000 | 308 124 212 212
338 200000 | 331 125 220 220
335 200000 | 328 133 209 209
367 200000 | 356 140 238 238
347 200000 | 336 133 225 225
350 200000 | 343 139 218 218
310 200000 | 302 119 199 199
314 200000 | 310 104 214 214
311 200000 | 308 129 185 185
325 200000 | 320 113 217 217
328 200000 | 314 124 218 218
321 200000 | 316 116 210 210
299 200000 | 294 118 186 186
331 200000 | 319 132 211 211
316 200000 | 305 112 215 215
322 200000 | 319 119 206 206
332 200000 | 327 130 207 207
334 200000 | 323 122 223 223
313 200000 | 309 110 207 207
314 200000 | 305 135 188 188
294 200000 | 288 93 207 207
330 200000 | 317 140 203 203
362 200000 | 351 146 227 227
290 200000 | 283 105 192 192
324 200000 | 317 116 215 215
358 200000 | 348 145 223 223
339 200000 | 332 129 217 217
348 200000 | 336 117 243 243
322 200000 | 316 106 222 222
336 200000 | 328 125 219 219
354 200000 | 350 132 226 226
326 200000 | 321 115 216 216
319 200000 | 310 116 212 212
364 200000 | 355 144 229 229
285 200000 | 277 110 183 183
348 200000 | 339 118 239 239
320 200000 | 318 118 204 204
373 200000 | 359 142 245 245
316 200000 | 309 105 218 218
342 200000 | 333 132 219 219
283 200000 | 281 104 181 181
326 200000 | 320 128 204 204
345 200000 | 334 126 230 230
320 200000 | 311 125 204 204
324 200000 | 320 109 219 219
332 200000 | 328 104 232 232
328 200000 | 319 128 209 209
318 200000 | 310 115 211 211
331 200000 | 323 124 215 215
316 200000 | 307 113 212 212
331 200000 | 326 131 205 205
347 200000 | 343 122 229 229
332 200000 | 326 129 209 209
340 200000 | 330 118 232 232
314 200000 | 304 101 223 223
334 200000 | 324 133 211 211
334 200000 | 329 128 211 211
315 200000 | 308 119 203 203
330 200000 | 318 124 218 218
341 200000 | 332 127 223 223
320 200000 | 312 118 210 210
281 200000 | 276 93 193 193
327 200000 | 322 117 215 215
325 200000 | 319 115 216 216
354 200000 | 345 127 236 236
338 200000 | 333 125 218 218
322 200000 | 311 128 205 205
293 200000 | 290 96 200 200
327 200000 | 321 128 205 205
333 200000 | 324 131 211 211
334 200000 | 327 126 215 215
327 200000 | 319 100 235 235
324 200000 | 320 116 212 212
359 200000 | 349 127 242 242
313 200000 | 309 117 200 200
322 200000 | 316 124 204 204
327 200000 | 315 130 209 209
291 200000 | 283 116 183 183
335 200000 | 327 119 224 224
300 200000 | 294 108 198 198
332 200000 | 327 110 227 227
337 200000 | 330 132 212 212
297 200000 | 288 110 196 196
311 200000 | 304 121 197 197
316 200000 | 310 121 201 201
319 200000 | 313 109 216 216
317 200000 | 306 113 215 215
326 200000 | 317 126 209 209
335 200000 | 330 118 222 222
304 200000 | 298 116 194 194
314 200000 | 307 115 206 206
356 200000 | 343 139 230 230
344 200000 | 335 120 233 233
353 200000 | 345 146 215 215
333 200000 | 322 125 219 219
347 200000 | 336 127 231 231
341 200000 | 330 119 233 233
347 200000 | 338 129 227 227
361 200000 | 352 131 239 239
307 200000 | 306 110 198 198
323 200000 | 309 135 202 202
343 200000 | 338 115 233 233
309 200000 | 303 109 206 206
352 200000 | 346 139 219 219
335 200000 | 327 128 215 215
306 200000 | 297 104 211 211
321 200000 | 315 118 209 209
328 200000 | 316 125 215 215
355 200000 | 346 128 236 236
351 200000 | 343 134 225 225
317 200000 | 306 124 204 204
283 200000 | 275 105 186 186
317 200000 | 310 123 201 201
334 200000 | 325 133 210 210
327 200000 | 318 137 199 199
352 200000 | 343 130 231 231
312 200000 | 305 98 221 221
317 200000 | 311 110 213 213
336 200000 | 328 130 214 214
349 200000 | 338 139 221 221
322 200000 | 315 123 206 206
300 200000 | 294 95 211 211
340 200000 | 333 135 212 212
301 200000 | 288 121 193 193
322 200000 | 319 126 199 199
309 200000 | 299 125 194 194
298 200000 | 293 113 190 190
332 200000 | 326 134 204 204
317 200000 | 310 123 201 201
298 200000 | 293 110 193 193
309 200000 | 304 115 199 199
336 200000 | 328 126 218 218
321 200000 | 315 116 211 211
316 200000 | 312 104 216 216
308 200000 | 299 117 200 200
324 200000 | 313 116 219 219
315 200000 | 307 119 204 204
315 200000 | 301 134 195 195
336 200000 | 331 127 214 214
331 200000 | 318 130 214 214
285 200000 | 275 123 172 172
323 200000 | 316 124 206 206
