18536 24742 | 12329 12365 12378 12378
18402 24742 | 12363 12212 12229 12229
18658 24742 | 12433 12394 12489 12489
18521 24742 | 12299 12402 12341 12341
18566 24742 | 12295 12374 12463 12463
18423 24500 | 12339 12193 12314 12314
18387 24500 | 12292 12290 12192 12192
18342 24500 | 12270 12169 12245 12245
18393 24500 | 12222 12211 12353 12353
18458 24500 | 12310 12287 12319 12319
63158 84083 | 42226 42143 41947 41947
63200 84083 | 42093 42135 42172 42172
63224 84083 | 42264 42063 42121 42121
63107 84083 | 42073 42184 41957 41957
62931 84083 | 41932 42009 41921 41921
