30 64 | 24 13 23 23
34 64 | 19 23 26 26
33 63 | 20 20 26 26
34 64 | 19 20 29 29
31 63 | 18 16 28 28
31 64 | 15 20 27 27
32 63 | 21 15 28 28
31 63 | 18 18 26 26
32 63 | 22 14 28 28
26 63 | 18 10 24 24
31 63 | 19 21 22 22
31 63 | 14 23 24 25
329 647 | 191 190 277 277
317 647 | 180 186 268 268
321 647 | 186 192 264 264
323 647 | 179 192 275 275
339 647 | 208 199 271 271
311 643 | 176 192 254 254
318 643 | 190 190 256 256
323 643 | 203 177 266 266
331 643 | 189 206 267 267
322 643 | 187 191 266 266
322 640 | 186 189 269 269
305 640 | 184 167 259 259
320 640 | 180 190 270 270
332 640 | 195 199 270 270
324 640 | 206 172 271 270
344 632 | 191 216 281 281
341 632 | 199 203 280 280
314 632 | 177 186 265 265
322 632 | 197 188 259 259
364 632 | 193 229 306 306
321 625 | 177 203 262 262
317 625 | 167 200 267 267
320 625 | 192 190 258 258
313 625 | 160 201 265 265
315 625 | 178 199 253 253
23 48 | 17 13 16 16
21 48 | 14 15 13 13
24 48 | 17 11 20 20
24 48 | 14 15 19 19
180 372 | 98 111 151 151
206 372 | 114 121 177 177
208 372 | 126 119 170 171
207 372 | 124 115 175 175
170 366 | 108 97 135 135
186 366 | 108 111 153 153
170 366 | 107 102 130 131
330 648 | 193 204 263 263
310 648 | 169 195 256 256
346 648 | 202 215 275 275
332 648 | 209 185 270 270
361 648 | 211 213 298 298
306 629 | 177 183 252 252
336 629 | 192 198 282 282
313 629 | 177 186 263 263
337 629 | 192 198 284 284
329 629 | 196 190 273 272
326 613 | 208 178 266 266
323 613 | 192 191 263 263
308 613 | 190 174 252 252
303 613 | 174 181 251 251
330 613 | 201 184 275 275
