48 64 | 25 34 37 37
46 64 | 31 30 30 31
51 64 | 38 34 30 30
50 64 | 36 36 28 28
51 66 | 33 35 34 34
49 66 | 31 32 35 35
42 66 | 22 32 31 30
52 66 | 40 32 32 32
299 399 | 194 203 201 201
308 399 | 209 197 210 210
296 399 | 197 210 185 185
308 399 | 231 181 204 204
305 399 | 204 205 200 201
307 399 | 200 212 201 202
306 399 | 193 208 211 211
292 399 | 194 184 207 206
309 399 | 196 210 212 212
295 399 | 197 194 199 199
308 402 | 199 200 219 217
288 402 | 201 201 173 174
307 402 | 211 195 209 208
297 402 | 196 192 204 206
299 402 | 197 195 206 206
296 394 | 207 197 188 188
287 394 | 198 187 190 189
307 394 | 186 228 201 200
287 394 | 189 203 183 182
293 394 | 201 192 192 193
