54 77 | 36 34 38 38
44 77 | 22 30 36 36
46 78 | 24 31 37 37
49 77 | 31 34 33 33
53 78 | 30 36 40 40
52 77 | 33 32 39 39
46 78 | 24 28 40 40
46 78 | 36 22 34 34
299 470 | 159 218 221 221
302 470 | 173 211 220 220
293 470 | 162 204 219 220
293 470 | 181 185 220 220
301 470 | 171 210 222 221
292 467 | 168 199 218 217
288 467 | 149 204 222 223
292 467 | 169 199 216 216
287 467 | 160 201 212 213
283 467 | 161 185 220 220
291 461 | 161 198 223 223
283 461 | 166 185 216 215
284 461 | 170 201 197 197
289 461 | 167 193 217 218
287 461 | 162 194 218 218
294 488 | 166 209 213 213
303 488 | 178 201 226 227
308 488 | 170 210 236 236
319 488 | 187 210 241 241
293 488 | 185 183 218 218
