56 75 | 30 38 44 44
52 75 | 31 36 38 37
57 75 | 39 36 39 39
61 75 | 37 47 38 38
52 73 | 33 36 35 35
52 73 | 30 38 35 36
56 73 | 39 36 37 37
54 73 | 31 42 35 35
47 71 | 25 30 39 39
53 71 | 36 33 37 37
52 71 | 28 39 37 37
51 71 | 37 42 23 23
307 445 | 203 196 214 215
334 445 | 216 212 241 240
310 445 | 189 208 223 223
308 445 | 190 217 209 209
313 445 | 179 229 218 218
327 448 | 210 205 239 239
311 448 | 207 210 205 205
337 448 | 213 226 235 235
342 448 | 218 228 238 238
326 448 | 209 221 222 222
299 447 | 171 206 222 221
319 447 | 197 220 222 221
293 447 | 186 194 206 206
324 447 | 211 225 211 212
319 447 | 203 216 219 219
321 457 | 204 226 213 212
330 457 | 212 226 222 222
349 457 | 207 245 247 246
327 457 | 208 225 222 221
311 457 | 185 219 217 218
