121 590 | 80 71 91 91
127 590 | 85 71 98 98
113 590 | 75 66 85 85
121 590 | 74 68 100 100
126 590 | 76 77 99 99
105 576 | 75 52 83 83
101 576 | 65 51 86 86
102 576 | 63 60 81 81
92 576 | 58 54 72 72
112 576 | 72 73 79 79
103 568 | 73 47 86 86
93 568 | 64 49 73 73
113 568 | 72 67 87 87
113 568 | 81 63 83 82
129 568 | 81 76 101 101
101 553 | 65 64 73 73
122 570 | 81 69 94 94
112 553 | 69 59 96 96
102 570 | 73 56 75 75
124 553 | 86 61 101 101
113 570 | 64 66 96 96
106 553 | 69 62 80 81
111 570 | 82 57 83 83
112 553 | 72 65 87 87
112 570 | 70 65 89 89
84 553 | 59 41 68 68
