30 64 | 19 17 24 24
21 64 | 16 6 20 20
24 64 | 12 15 21 21
24 64 | 15 10 23 23
21 63 | 11 12 19 19
25 63 | 10 17 23 23
35 63 | 21 19 30 30
18 63 | 7 13 16 16
20 65 | 11 13 16 16
24 65 | 13 14 21 21
25 65 | 11 16 23 23
25 65 | 20 6 24 24
257 663 | 151 133 230 230
236 663 | 137 127 208 208
263 663 | 139 159 228 228
234 663 | 136 130 202 202
236 663 | 124 140 208 208
234 657 | 127 132 209 209
251 657 | 150 126 226 226
233 657 | 136 132 198 198
239 657 | 124 133 221 221
256 657 | 147 145 220 220
247 626 | 116 152 226 226
245 626 | 135 142 213 213
228 626 | 121 128 207 207
231 626 | 115 149 197 198
221 626 | 132 106 204 204
254 648 | 139 152 217 217
240 648 | 142 125 213 213
227 648 | 130 121 203 203
219 648 | 108 128 202 202
223 648 | 122 130 195 194
235 639 | 114 154 202 202
255 639 | 139 137 234 234
234 639 | 131 126 211 211
249 639 | 145 126 227 227
254 639 | 160 124 224 224
244 635 | 120 145 223 223
251 635 | 147 133 221 222
264 635 | 156 146 226 226
244 635 | 139 135 214 214
248 635 | 154 128 214 214
198 590 | 108 111 177 177
212 590 | 132 115 177 177
241 590 | 134 128 220 220
199 590 | 124 94 180 180
120 354 | 71 61 108 108
146 354 | 72 85 135 135
136 354 | 80 79 113 113
238 667 | 125 142 209 209
272 667 | 154 147 243 243
246 667 | 115 150 227 227
243 667 | 130 134 222 222
257 667 | 144 138 231 232
256 659 | 144 146 222 222
229 659 | 127 136 195 195
233 659 | 127 133 206 206
235 659 | 127 133 210 210
248 659 | 127 147 222 222
19 49 | 13 9 16 16
25 49 | 16 13 22 21
16 49 | 10 8 14 14
17 49 | 6 12 16 16
18 49 | 13 9 14 14
19 49 | 11 11 16 16
16 49 | 8 10 14 14
19 49 | 11 10 17 17
11 49 | 5 8 9 9
21 49 | 8 14 20 20
20 49 | 11 13 16 16
24 49 | 13 13 22 22
18 49 | 12 9 15 15
23 49 | 8 18 20 20
13 49 | 6 9 11 11
19 49 | 7 14 17 17
20 49 | 15 7 18 18
14 49 | 5 9 14 14
18 49 | 13 7 16 16
19 49 | 11 14 13 13
22 49 | 13 13 18 18
13 49 | 9 5 12 12
12 49 | 7 5 12 12
25 49 | 19 8 23 23
17 49 | 10 7 17 17
16 49 | 9 9 14 14
18 49 | 9 11 16 16
25 49 | 15 15 20 20
21 49 | 13 11 18 18
23 49 | 15 12 19 19
16 49 | 11 6 15 15
19 49 | 11 11 16 16
22 49 | 8 17 19 19
19 49 | 11 9 18 18
22 49 | 16 8 20 20
