22 63 | 14 12 18 18
30 63 | 15 19 26 26
33 63 | 21 17 28 28
20 63 | 11 10 19 19
27 64 | 16 20 18 18
25 64 | 13 14 23 23
37 64 | 20 25 29 29
25 63 | 15 17 18 18
29 64 | 17 16 25 25
27 63 | 18 15 21 21
28 63 | 13 18 25 25
27 63 | 13 21 20 20
297 659 | 173 163 258 258
277 659 | 166 157 231 231
290 659 | 173 170 237 237
299 659 | 188 159 251 251
292 659 | 152 170 262 262
285 620 | 167 154 249 249
265 620 | 156 141 234 233
278 620 | 165 163 228 228
276 620 | 160 151 241 241
259 620 | 148 153 217 217
279 649 | 147 167 244 244
298 649 | 163 178 255 255
278 649 | 147 174 235 235
276 649 | 165 155 232 232
307 649 | 187 164 263 263
274 634 | 169 147 232 232
286 637 | 155 176 241 241
285 634 | 167 167 236 236
283 637 | 164 162 240 240
271 634 | 154 157 231 231
292 637 | 170 156 258 258
294 634 | 165 161 262 262
292 637 | 169 164 251 251
292 634 | 150 174 260 260
282 637 | 162 159 243 243
274 626 | 137 174 237 237
311 626 | 175 168 279 279
278 626 | 169 151 236 236
264 630 | 144 167 217 217
302 630 | 172 174 258 258
290 630 | 150 182 248 248
275 630 | 166 150 234 234
161 380 | 87 95 140 140
172 380 | 91 107 146 146
167 380 | 95 95 143 144
170 380 | 85 107 148 148
288 658 | 166 157 253 253
291 658 | 172 167 244 243
282 658 | 159 160 245 245
293 658 | 173 161 252 252
322 658 | 198 159 287 287
292 657 | 170 170 244 244
300 657 | 175 179 246 246
271 657 | 171 139 231 232
286 657 | 156 164 252 252
289 657 | 175 159 245 244
281 630 | 171 151 240 240
267 630 | 138 166 230 230
282 630 | 163 156 245 245
264 630 | 148 152 228 228
284 630 | 160 165 242 243
