58 77 | 34 42 39 40
55 77 | 28 38 44 44
58 77 | 37 39 40 40
52 77 | 38 34 32 32
48 74 | 31 31 34 34
51 74 | 30 33 39 39
46 74 | 33 27 31 32
54 74 | 32 35 41 41
305 461 | 187 209 214 214
316 461 | 190 209 231 233
332 461 | 208 217 240 239
327 461 | 208 227 219 219
312 461 | 189 203 231 232
314 461 | 190 202 238 236
314 461 | 181 225 222 222
297 461 | 184 201 209 209
326 461 | 175 215 263 262
315 461 | 198 212 220 220
308 454 | 194 212 210 210
321 454 | 173 221 248 248
316 454 | 211 219 202 202
306 454 | 189 194 227 229
313 454 | 190 215 221 221
307 459 | 191 204 220 219
314 459 | 198 198 232 232
322 459 | 182 230 232 232
326 459 | 206 209 236 237
311 459 | 190 210 220 222
