36 62 | 26 16 30 30
33 62 | 24 16 26 26
37 62 | 25 18 31 31
42 62 | 28 30 26 26
36 62 | 17 29 26 26
34 62 | 26 20 22 22
42 62 | 31 22 31 31
40 62 | 22 28 30 30
41 61 | 26 25 31 31
39 61 | 25 23 30 30
43 61 | 31 24 31 31
37 61 | 24 21 29 29
391 645 | 247 242 293 293
382 645 | 214 251 300 299
381 645 | 239 226 297 297
399 645 | 252 245 301 301
392 645 | 232 252 300 300
381 637 | 227 232 303 303
385 637 | 250 230 290 290
371 637 | 219 223 300 300
398 637 | 257 244 295 295
401 637 | 245 249 308 308
394 628 | 245 235 307 308
372 628 | 240 227 277 277
369 628 | 212 238 289 288
381 628 | 233 235 295 294
375 628 | 247 210 293 293
361 614 | 224 230 268 268
410 614 | 242 265 313 313
363 614 | 214 229 283 283
379 614 | 239 230 288 289
359 614 | 221 213 284 284
368 620 | 222 237 277 277
376 620 | 241 228 283 283
354 620 | 221 212 276 275
384 620 | 233 231 304 304
369 620 | 220 214 303 304
367 620 | 235 221 278 278
401 620 | 241 259 302 302
380 620 | 230 220 309 310
388 620 | 214 244 318 318
217 362 | 124 139 172 171
240 362 | 150 138 192 192
219 358 | 139 141 158 158
210 358 | 121 137 162 162
214 358 | 117 141 170 170
203 358 | 119 124 163 163
207 339 | 130 130 154 154
206 339 | 139 103 170 170
219 339 | 129 132 176 177
198 339 | 119 126 151 151
202 339 | 129 112 163 163
391 641 | 240 228 314 314
377 641 | 232 229 294 293
375 641 | 234 216 300 300
386 641 | 236 236 300 300
384 641 | 228 227 313 313
395 638 | 240 258 292 292
368 638 | 219 234 283 283
371 638 | 229 230 283 283
392 638 | 240 241 303 303
382 638 | 232 233 298 299
375 611 | 229 236 285 285
383 611 | 237 233 296 296
360 611 | 226 205 289 289
386 611 | 238 238 296 296
372 611 | 243 211 290 290
