47 85 | 27 34 33 33
43 85 | 23 31 32 32
40 85 | 28 25 27 27
43 85 | 32 20 35 34
48 85 | 27 32 37 37
37 85 | 30 15 29 29
44 85 | 27 30 31 31
44 85 | 28 32 28 28
49 85 | 33 25 40 40
46 85 | 33 25 34 34
54 85 | 37 32 39 39
43 85 | 32 23 31 31
272 516 | 181 155 208 208
251 516 | 164 148 189 190
267 516 | 184 153 197 197
284 516 | 190 163 215 215
278 516 | 196 162 198 198
280 520 | 187 160 214 213
263 520 | 172 166 188 188
279 520 | 202 166 191 190
299 520 | 201 178 219 219
280 520 | 188 170 202 202
265 510 | 177 162 191 191
289 510 | 190 173 216 215
269 510 | 190 153 196 195
270 510 | 195 159 186 186
266 510 | 173 165 194 194
