20 65 | 10 11 19 19
22 65 | 9 17 18 18
23 65 | 15 10 21 21
23 65 | 14 12 20 20
18 64 | 9 11 16 16
18 64 | 8 11 17 17
19 64 | 6 13 19 19
25 64 | 8 18 24 24
27 65 | 12 19 23 23
16 65 | 10 9 13 13
18 65 | 13 5 18 18
21 65 | 10 11 21 21
220 640 | 120 129 191 191
188 640 | 115 90 171 171
214 640 | 118 120 190 190
196 640 | 114 108 170 170
206 640 | 108 118 186 186
200 656 | 108 107 185 185
223 656 | 115 122 209 209
203 656 | 108 120 178 178
227 656 | 132 121 201 201
222 656 | 130 118 196 196
218 668 | 115 131 190 190
210 668 | 112 117 191 191
225 668 | 118 121 211 211
224 668 | 118 127 203 203
232 668 | 122 129 213 213
201 668 | 111 107 184 184
228 668 | 121 130 205 205
219 668 | 128 112 198 198
212 668 | 120 106 198 198
205 668 | 113 113 184 184
211 636 | 101 127 194 194
221 636 | 113 125 204 204
203 636 | 100 119 187 187
198 638 | 115 105 175 176
222 638 | 120 116 208 208
214 638 | 121 117 190 190
233 638 | 130 126 210 210
117 367 | 68 58 108 108
108 367 | 62 59 95 95
118 367 | 60 71 105 105
108 367 | 53 64 99 99
217 665 | 116 121 197 197
231 665 | 128 135 198 199
224 665 | 120 131 197 197
212 665 | 119 117 188 188
196 665 | 116 100 176 176
223 660 | 119 126 201 201
197 660 | 110 101 183 183
223 660 | 128 122 196 196
209 660 | 94 131 193 193
215 660 | 121 124 185 185
217 637 | 112 131 192 191
203 637 | 108 111 187 187
218 637 | 113 128 195 195
205 637 | 130 100 180 180
226 637 | 126 123 203 203
45 150 | 23 27 40 40
46 150 | 28 23 41 41
37 150 | 22 20 32 32
52 150 | 28 27 49 49
50 150 | 27 28 45 45
40 150 | 21 23 36 36
47 150 | 29 22 43 43
