25 64 | 16 13 21 21
26 64 | 15 13 24 24
26 64 | 18 11 23 23
27 64 | 18 12 24 24
30 63 | 19 18 23 23
19 63 | 13 7 18 18
20 63 | 12 12 16 16
28 63 | 16 15 25 25
30 63 | 13 18 29 29
25 63 | 17 13 20 20
23 63 | 14 12 20 20
23 63 | 17 9 20 20
239 626 | 122 148 208 208
227 626 | 131 125 198 198
226 626 | 126 115 211 211
247 626 | 127 156 211 211
250 626 | 127 152 221 221
262 660 | 140 151 233 233
249 660 | 132 143 223 223
273 660 | 168 132 246 246
256 660 | 138 144 230 230
291 660 | 172 151 259 259
264 657 | 152 145 231 231
259 657 | 155 136 227 227
267 657 | 146 146 242 242
263 657 | 152 153 221 221
247 657 | 135 137 223 222
252 641 | 135 153 216 216
259 641 | 148 143 227 227
260 641 | 135 157 228 228
252 641 | 135 152 217 217
254 641 | 144 146 218 218
21 51 | 15 7 20 20
19 51 | 12 13 13 13
19 51 | 11 13 14 14
26 51 | 9 18 25 25
265 648 | 147 147 236 236
263 648 | 154 142 230 230
271 648 | 160 150 233 232
269 648 | 136 168 234 234
278 648 | 171 145 240 240
261 661 | 169 122 231 231
248 661 | 147 132 217 217
256 661 | 130 160 222 222
264 661 | 160 136 232 232
253 661 | 141 152 213 213
256 656 | 142 142 228 228
289 656 | 153 174 251 251
250 656 | 136 145 219 219
251 656 | 141 140 221 221
264 656 | 137 154 237 237
131 289 | 68 75 119 119
118 289 | 59 73 104 104
110 289 | 62 62 96 96
125 289 | 53 79 118 118
115 289 | 55 69 106 106
