49 77 | 36 31 31 31
58 77 | 40 40 36 36
53 77 | 37 36 33 33
53 77 | 36 30 40 40
49 76 | 35 36 27 27
62 76 | 45 35 44 44
52 76 | 34 30 40 40
56 76 | 40 38 34 34
49 78 | 37 28 31 33
59 78 | 38 37 43 43
48 78 | 36 28 32 32
54 78 | 35 34 39 39
345 454 | 251 224 215 215
315 454 | 215 200 215 215
334 454 | 223 212 231 233
325 454 | 222 209 220 219
331 454 | 219 208 235 235
330 474 | 229 211 222 220
348 474 | 237 224 236 235
344 474 | 221 219 250 248
328 474 | 240 199 217 217
349 474 | 245 230 222 223
328 458 | 213 221 223 222
335 458 | 222 208 239 240
330 458 | 214 215 231 231
327 458 | 225 210 219 219
334 458 | 225 230 212 213
336 464 | 245 208 219 219
332 464 | 224 225 215 215
345 464 | 230 237 223 223
340 464 | 228 228 225 224
314 464 | 215 195 215 218
