155 528 | 72 95 144 143
147 528 | 72 92 130 130
139 528 | 64 90 125 124
149 528 | 80 95 122 123
147 528 | 63 102 128 129
148 522 | 62 97 137 137
144 522 | 74 90 124 124
146 522 | 63 99 131 130
153 522 | 71 98 137 137
162 522 | 71 114 138 139
160 551 | 82 99 139 139
139 551 | 69 89 120 120
165 551 | 75 106 149 149
138 551 | 78 81 117 117
161 551 | 81 100 141 141
154 530 | 68 107 133 133
135 530 | 66 84 120 120
139 530 | 71 87 120 120
147 530 | 76 90 129 128
138 530 | 58 90 130 128
152 536 | 81 93 130 130
152 536 | 84 88 133 132
137 536 | 63 90 121 121
154 536 | 73 101 134 134
143 536 | 70 93 124 123
