189 558 | 124 121 133 133
176 558 | 108 106 140 138
194 558 | 104 123 161 161
231 558 | 149 153 161 160
193 558 | 121 109 156 156
180 547 | 106 111 143 143
189 547 | 128 111 140 139
195 547 | 135 107 147 148
201 547 | 130 129 144 143
202 547 | 132 116 157 156
178 527 | 111 99 146 146
182 527 | 119 98 147 147
181 527 | 119 107 136 136
178 527 | 120 95 142 141
187 527 | 112 116 146 146
188 525 | 123 103 150 150
188 525 | 133 102 141 141
164 525 | 102 98 128 128
184 525 | 119 115 135 134
178 525 | 117 101 139 138
181 524 | 127 105 131 130
194 524 | 136 108 145 144
189 524 | 131 103 144 144
193 524 | 130 109 146 147
190 524 | 139 105 136 136
