43 57 | 27 28 31 31
42 57 | 29 34 21 21
42 56 | 27 28 29 29
50 57 | 33 31 36 36
34 56 | 22 24 22 22
41 57 | 27 32 23 23
44 56 | 28 30 31 30
42 56 | 25 30 29 29
44 57 | 22 32 34 34
39 57 | 29 21 28 28
40 57 | 27 26 27 27
45 57 | 30 27 33 33
429 593 | 300 270 289 288
441 593 | 293 309 279 280
431 593 | 298 282 282 282
445 593 | 303 294 293 293
443 593 | 293 289 304 304
437 580 | 297 288 290 289
441 580 | 285 300 297 297
453 580 | 320 290 296 296
443 580 | 294 300 292 292
423 580 | 277 293 276 276
461 592 | 286 331 304 305
447 592 | 305 297 290 292
448 592 | 288 306 304 302
437 592 | 289 282 303 303
437 592 | 303 282 290 289
432 574 | 288 299 277 277
410 574 | 272 257 291 291
444 574 | 295 290 301 303
426 574 | 293 284 274 275
424 574 | 268 293 287 287
420 576 | 276 270 294 294
445 576 | 300 291 300 299
418 576 | 265 282 288 289
435 576 | 260 302 308 308
427 576 | 292 279 281 283
446 582 | 289 307 296 296
426 582 | 295 277 280 280
420 582 | 292 275 273 273
268 353 | 189 172 175 175
264 355 | 181 164 183 183
266 353 | 169 183 179 180
253 355 | 169 169 168 168
268 353 | 174 180 182 182
264 355 | 166 179 183 183
272 353 | 183 177 184 184
263 355 | 180 177 169 169
261 353 | 170 167 186 185
262 355 | 175 176 174 173
426 571 | 288 272 293 292
427 582 | 289 277 288 288
435 571 | 291 279 300 300
440 582 | 295 291 295 294
434 571 | 280 291 297 297
435 582 | 277 292 301 301
418 571 | 268 276 293 292
425 582 | 290 265 293 295
433 571 | 305 265 295 296
412 582 | 274 281 269 269
454 586 | 303 291 314 314
416 586 | 293 258 282 281
445 586 | 303 298 289 289
444 586 | 314 278 297 296
429 586 | 276 292 290 290
