44 61 | 27 27 34 34
42 61 | 24 29 31 31
42 61 | 29 21 34 34
47 61 | 31 27 35 36
44 60 | 30 27 31 31
33 60 | 20 21 25 25
39 60 | 25 27 26 26
38 60 | 27 25 24 24
37 63 | 23 22 29 29
41 63 | 26 25 31 31
37 63 | 25 20 29 29
373 598 | 220 248 278 278
402 598 | 243 254 307 307
428 598 | 260 277 319 319
396 598 | 263 239 290 290
376 598 | 221 251 279 280
398 613 | 240 257 299 299
406 613 | 245 258 309 309
411 613 | 267 253 302 302
411 613 | 243 271 308 308
421 613 | 263 272 306 307
382 599 | 253 224 287 287
419 599 | 262 268 307 308
396 599 | 246 247 299 299
404 599 | 268 242 298 298
408 599 | 268 253 295 295
395 613 | 234 266 290 290
425 613 | 263 274 312 313
401 613 | 257 249 297 296
414 613 | 262 260 307 306
409 613 | 268 250 300 300
373 583 | 234 244 269 268
381 583 | 249 233 280 280
402 583 | 253 263 288 288
398 583 | 251 246 300 299
375 583 | 232 243 275 275
399 595 | 254 235 309 309
393 595 | 239 249 299 298
392 595 | 229 264 290 291
395 595 | 258 251 282 281
376 559 | 236 243 273 273
392 559 | 259 228 297 297
366 559 | 222 224 286 286
364 559 | 236 225 268 267
235 345 | 147 147 176 176
227 345 | 144 147 162 163
220 345 | 128 149 163 163
245 345 | 143 159 188 188
225 345 | 139 145 166 166
227 339 | 147 139 167 168
213 339 | 136 129 161 161
236 339 | 160 141 170 171
226 339 | 140 145 167 167
220 339 | 148 140 152 152
397 616 | 257 250 286 287
409 616 | 263 237 318 318
406 616 | 279 232 300 301
421 616 | 261 275 306 306
400 616 | 262 260 278 278
405 600 | 251 262 297 297
383 600 | 243 245 278 278
387 600 | 235 248 291 291
401 600 | 250 267 286 285
411 600 | 272 257 293 293
389 599 | 247 245 286 286
394 599 | 247 260 281 281
413 599 | 266 261 299 299
414 599 | 251 260 318 317
423 599 | 272 256 318 318
