46 71 | 25 39 27 28
50 71 | 32 35 34 33
56 71 | 40 31 41 41
53 71 | 36 31 38 39
306 419 | 208 209 195 195
299 419 | 196 211 192 191
324 419 | 225 206 217 217
317 419 | 193 214 226 227
311 419 | 221 199 201 202
315 422 | 202 204 225 224
329 422 | 219 219 222 220
306 422 | 204 218 190 190
318 422 | 211 214 212 211
325 422 | 220 219 211 211
316 422 | 209 208 214 215
322 422 | 214 209 220 221
316 422 | 210 199 224 223
314 422 | 204 198 227 226
308 422 | 212 203 201 201
320 420 | 207 225 208 208
330 420 | 229 216 215 215
319 420 | 206 211 219 221
309 420 | 212 212 194 194
312 420 | 206 219 194 199
