172 680 | 99 87 157 158
171 680 | 90 93 159 159
147 680 | 84 75 135 135
149 680 | 80 86 132 132
169 680 | 93 90 155 155
160 659 | 81 89 150 150
150 659 | 75 88 137 137
161 659 | 83 88 151 151
162 659 | 86 88 150 150
165 659 | 99 82 149 149
152 646 | 75 87 142 142
151 646 | 78 80 144 144
159 646 | 76 90 152 152
162 646 | 86 82 156 156
167 646 | 73 103 158 158
176 671 | 82 105 165 165
151 671 | 78 78 146 146
147 671 | 78 77 138 139
147 671 | 84 73 137 137
167 671 | 105 73 156 156
142 637 | 80 71 133 133
161 637 | 92 77 153 153
163 637 | 91 82 153 153
156 637 | 72 93 147 147
174 637 | 93 91 164 164
170 639 | 86 91 163 163
162 639 | 87 86 151 151
173 639 | 99 91 156 156
179 639 | 91 100 167 167
155 639 | 82 81 147 147
163 652 | 89 87 150 150
173 652 | 86 97 163 163
161 652 | 86 89 147 147
157 652 | 91 77 146 146
167 652 | 96 87 151 151
152 647 | 93 70 141 141
168 647 | 106 73 157 157
165 647 | 90 86 154 154
157 647 | 88 78 148 148
151 647 | 87 74 141 141
139 653 | 81 69 128 128
138 655 | 75 76 125 125
169 653 | 80 100 158 158
156 655 | 78 93 140 141
141 653 | 78 76 128 128
145 655 | 84 70 136 136
160 653 | 95 77 148 148
163 655 | 90 89 147 147
181 653 | 100 91 171 171
156 655 | 73 89 150 150
144 681 | 75 80 133 133
161 681 | 82 93 147 147
171 681 | 90 88 164 164
178 681 | 97 100 159 159
167 681 | 96 83 155 155
167 683 | 101 77 156 156
181 683 | 86 109 167 167
171 683 | 74 106 162 162
154 683 | 78 87 143 143
162 683 | 100 77 147 147
