46 79 | 25 36 31 31
59 79 | 41 32 45 45
47 79 | 30 30 34 34
57 79 | 39 37 38 38
54 80 | 35 33 40 40
52 78 | 37 37 30 30
58 80 | 34 39 43 43
49 78 | 29 35 34 34
51 80 | 30 33 39 39
55 78 | 34 35 41 41
55 80 | 32 37 41 41
51 78 | 42 29 31 31
331 477 | 226 203 233 233
320 477 | 213 211 217 216
328 477 | 221 208 227 227
309 477 | 202 207 209 209
321 477 | 217 209 217 216
319 483 | 200 209 229 229
315 483 | 212 193 225 225
321 483 | 194 230 220 218
311 483 | 224 178 220 220
308 483 | 203 196 218 217
333 492 | 220 204 242 242
332 492 | 228 206 232 230
314 492 | 210 195 223 223
321 492 | 213 207 223 222
312 492 | 201 208 214 215
315 493 | 202 201 226 227
306 493 | 203 199 210 210
308 493 | 202 197 217 217
317 493 | 208 204 224 222
316 493 | 214 190 229 228
