17 64 | 7 11 16 16
16 64 | 9 8 15 15
19 64 | 10 10 18 18
20 64 | 12 9 19 19
24 64 | 11 16 21 21
20 64 | 10 13 17 17
20 64 | 11 9 20 20
27 64 | 14 13 27 27
14 64 | 7 8 13 13
18 64 | 7 13 16 16
20 64 | 13 10 17 17
17 64 | 8 9 17 17
196 667 | 107 111 174 174
196 667 | 99 114 179 179
201 667 | 123 93 186 186
191 667 | 105 99 178 178
190 667 | 103 103 174 174
198 630 | 102 118 176 176
177 630 | 94 101 159 159
177 630 | 100 92 162 162
172 630 | 90 93 161 161
179 630 | 112 84 162 162
188 630 | 107 95 174 174
214 665 | 124 109 195 195
206 665 | 108 112 192 192
178 665 | 94 100 162 162
194 665 | 89 118 181 181
216 665 | 120 114 198 198
201 671 | 101 111 190 190
182 671 | 103 94 167 167
204 671 | 116 112 180 180
182 671 | 100 99 165 165
191 671 | 105 99 178 178
201 648 | 119 102 181 181
211 648 | 108 122 192 192
193 648 | 114 104 168 168
203 648 | 108 114 184 184
202 648 | 103 119 182 182
195 629 | 110 103 177 177
192 629 | 106 106 172 172
172 629 | 100 85 159 159
181 629 | 103 97 162 162
178 629 | 100 97 159 159
128 461 | 63 78 115 115
140 461 | 78 69 133 133
147 461 | 76 79 139 139
129 461 | 78 68 112 112
154 461 | 82 83 143 143
7 26 | 3 5 6 6
14 55 | 11 4 13 13
7 26 | 6 2 6 6
7 26 | 4 3 7 7
16 55 | 10 7 15 15
6 26 | 3 4 5 5
198 668 | 106 114 175 176
198 668 | 116 105 175 175
201 668 | 105 109 186 188
200 668 | 96 115 189 189
209 668 | 115 110 193 193
192 673 | 107 99 178 178
211 673 | 105 128 189 189
196 673 | 102 114 176 176
183 673 | 105 95 166 166
192 673 | 100 110 174 174
208 666 | 120 104 192 192
174 666 | 94 91 163 163
217 666 | 99 139 196 196
181 666 | 88 103 171 171
198 666 | 117 95 184 184
15 64 | 9 7 14 14
24 64 | 10 14 24 24
21 64 | 10 12 20 20
16 64 | 7 10 15 15
16 64 | 9 7 16 16
18 64 | 7 11 18 18
