51 82 | 32 29 41 41
50 82 | 33 33 34 34
57 82 | 37 34 43 43
44 82 | 31 31 25 26
48 83 | 32 34 30 30
49 83 | 34 29 35 35
56 83 | 32 38 42 42
54 83 | 30 33 45 45
40 83 | 26 20 34 34
45 83 | 32 28 30 30
50 83 | 36 27 37 37
48 83 | 31 30 35 35
296 494 | 193 194 206 205
283 494 | 205 157 204 204
274 494 | 174 173 202 201
300 494 | 201 195 205 204
311 494 | 196 195 231 231
337 511 | 226 217 231 231
320 511 | 211 203 226 226
317 511 | 214 189 232 231
317 511 | 214 193 227 227
316 511 | 212 188 231 232
299 496 | 200 189 208 209
313 496 | 207 191 227 228
306 496 | 213 187 213 212
300 496 | 211 170 219 219
304 496 | 201 193 214 214
325 497 | 219 204 227 227
298 497 | 196 185 216 215
315 497 | 208 193 228 229
301 497 | 203 191 209 208
312 497 | 208 189 228 227
