81 651 | 45 38 79 79
82 651 | 49 35 80 80
67 651 | 45 25 64 64
77 651 | 41 36 77 77
71 651 | 42 30 70 70
64 665 | 30 38 60 60
72 665 | 39 33 72 72
86 665 | 47 41 84 84
73 665 | 48 28 70 70
86 665 | 45 46 81 81
64 642 | 36 33 60 59
88 642 | 47 44 85 85
58 642 | 31 29 56 56
72 642 | 34 41 69 69
80 642 | 42 40 78 78
70 664 | 41 32 67 67
74 664 | 45 31 72 72
89 664 | 47 47 84 84
81 664 | 40 43 79 79
75 664 | 40 37 73 73
89 652 | 46 45 87 87
81 652 | 36 47 79 79
66 652 | 37 33 62 62
80 652 | 40 41 79 79
77 652 | 42 38 74 74
82 658 | 41 42 81 81
66 658 | 32 38 62 62
71 658 | 31 41 70 70
82 658 | 42 43 79 79
57 658 | 34 24 56 56
83 657 | 43 41 82 82
82 657 | 48 38 78 78
85 657 | 41 50 79 79
58 657 | 36 23 57 57
72 657 | 33 41 70 70
82 667 | 44 40 80 80
69 667 | 35 36 67 67
79 667 | 38 44 76 76
81 667 | 39 45 78 78
76 667 | 38 39 75 75
83 657 | 34 52 80 80
81 657 | 39 43 80 80
80 657 | 41 43 76 76
75 657 | 35 43 72 72
83 657 | 37 48 81 81
83 667 | 43 42 81 81
84 667 | 48 41 79 79
80 667 | 42 42 75 76
86 667 | 49 42 81 81
87 667 | 48 43 83 83
91 692 | 44 48 90 90
89 692 | 47 44 87 87
70 692 | 34 38 68 68
99 703 | 50 53 95 95
98 692 | 55 47 94 94
72 703 | 38 36 70 70
91 692 | 54 42 86 86
75 703 | 36 39 75 75
90 703 | 47 44 89 89
96 703 | 45 53 94 94
